sn,symbol,ltp,point change,change,open,high,low,volume,close
280,SMJC,390.00,5.00,1.30,387.00,397.00,387.00,"136,493.00",385.00
281,SNLI,596.00,0.00,0.00,595.00,602.00,585.10,"24,279.00",596.00
282,SONA,456.50,-8.50,-1.83,455.70,465.00,448.90,"224,063.00",465.00
283,SPC,654.00,34.00,5.48,608.20,656.00,608.20,"30,366.00",620.00
284,SPDL,280.00,0.10,0.04,280.00,283.50,276.10,"62,855.00",279.90
285,SPHL,525.00,25.00,5.00,507.90,535.00,495.00,"16,659.00",500.00
286,SPIL,740.00,27.00,3.79,727.00,741.00,716.00,"31,743.00",713.00
287,SPL,702.90,12.90,1.87,680.00,710.00,680.00,"4,160.00",690.00
288,SRLI,466.60,3.60,0.78,456.00,468.30,456.00,"11,336.00",463.00
289,SSHL,186.80,6.80,3.78,180.00,187.20,179.00,"111,368.00",180.00
290,STC,"5,240.00",28.00,0.54,"5,309.00","5,309.00","5,135.00",438.00,"5,212.00"
291,SWBBL,760.00,4.90,0.65,743.00,760.00,743.00,"16,246.00",755.10
292,SWMF,707.00,-3.00,-0.42,704.80,710.00,701.30,"4,697.00",710.00
293,TAMOR,412.00,10.00,2.49,395.20,418.20,395.20,"49,301.00",402.00
294,TPC,585.00,9.00,1.56,587.50,587.50,567.50,"6,217.00",576.00
295,TRH,800.00,7.50,0.95,808.00,814.90,797.10,"12,435.00",792.50
296,TSHL,570.00,5.00,0.88,553.70,571.00,553.70,"10,384.00",565.00
297,TVCL,630.00,-11.00,-1.72,641.00,641.00,615.00,"60,405.00",641.00
298,UAIL,569.90,13.90,2.50,567.00,570.00,550.10,"13,714.00",556.00
299,UHEWA,379.60,22.60,6.33,352.60,388.00,350.20,"43,107.00",357.00
300,ULBSL,"1,120.00",6.00,0.54,"1,095.00","1,120.00","1,093.30",639.00,"1,114.00"
301,ULHC,355.00,15.00,4.41,346.80,356.80,331.00,"114,403.00",340.00
302,UMHL,284.90,3.90,1.39,286.60,288.80,281.00,"49,074.00",281.00
303,UMRH,400.00,2.50,0.63,405.40,405.40,392.20,"56,171.00",397.50
304,UNHPL,254.00,12.00,4.96,244.00,255.00,242.90,"126,653.00",242.00
305,UNL,"40,400.00","2,050.00",5.35,"39,000.00","40,400.00","39,000.00",51.00,"38,350.00"
306,UNLB,"1,287.00",19.90,1.57,"1,250.10","1,290.50","1,250.10","2,240.00","1,267.10"
307,UPCL,234.00,0.90,0.39,234.00,237.80,229.60,"120,591.00",233.10
308,UPPER,216.00,1.00,0.47,219.00,219.30,215.00,"44,449.00",215.00
309,USHEC,393.00,14.50,3.83,384.00,393.00,376.00,"79,338.00",378.50
310,USHL,515.00,4.00,0.78,512.00,521.50,512.00,"6,800.00",511.00
311,USLB,965.00,11.00,1.15,973.00,992.40,935.00,"1,981.00",954.00
312,VLBS,642.00,10.90,1.73,624.00,642.00,624.00,"1,898.00",631.10
313,VLUCL,566.00,40.90,7.79,525.00,576.00,525.00,"107,368.00",525.10
314,WNLB,871.00,10.00,1.16,870.00,878.00,850.00,202.00,861.00
